metrics,min,median,mean,std,max
F-Score,0.07489269415465952,0.12023719584701772,0.1449040230532297,0.07001927801933086,0.3542616760633797
G-Mean,0.9123936886686582,0.9276472003732386,0.927345480234729,0.005553793374352656,0.9373494099581899
Precision,0.03911576801184526,0.06457461114212784,0.08132968080322296,0.045221291270591144,0.22774037726350813
ROC AUC,0.915790160130172,0.9290499400435002,0.9288204106079623,0.004902854197480095,0.937933566635294
Recall,0.8381926683716966,0.8790707587382778,0.8809422421142369,0.017870544190052143,0.9097399829497016
Specificity,0.9599453086210621,0.9765601704667574,0.9766985791016887,0.009965279531354456,0.9943930268329927
