metrics,min,median,mean,std,max
F-Score,0.12442356375339902,0.3957614466409616,0.4249472835493129,0.20982949541302232,0.7731365360159719
G-Mean,0.8877805900192423,0.9184538932774642,0.9168065562000699,0.011368714997516623,0.9328356263018138
Precision,0.0672206893249819,0.26533825845277786,0.32479267330482736,0.21487978775647354,0.7540814134240915
ROC AUC,0.8940771513753243,0.9217849430287866,0.9200281157595033,0.010146223113486903,0.9342085193607674
Recall,0.788618925831202,0.8461423699914747,0.8468318414322251,0.025615393745469544,0.8906436487638535
Specificity,0.9762281076828916,0.9950807876430081,0.9932243900867814,0.0062097360862718946,0.9995353769194468
