metrics,min,median,mean,std,max
F-Score,0.3755756127397372,0.6383757888637859,0.6308578816256496,0.14006775433428278,0.8268948205794338
G-Mean,0.8837161919527814,0.9114027803958694,0.9116925869136953,0.008395134794714125,0.9250713238816652
Precision,0.24130249868807696,0.5210773969927873,0.5362614674647911,0.18709724701409175,0.8374831183731895
ROC AUC,0.8905164933549241,0.9153592090121332,0.9156321323803602,0.007627032815069542,0.9278667074052602
Recall,0.7813086104006819,0.83231031543052,0.8330168371696505,0.016017925423332156,0.8586104006820119
Specificity,0.9951044002154475,0.9986113824448802,0.9982474275910695,0.0013269027139443147,0.9997243763091662
