metrics,min,median,mean,std,max
F-Score,0.6422768920146333,0.7053184107784293,0.6910386418578747,0.026753361645917642,0.712986645030192
G-Mean,0.7169538120304073,0.7822690503263385,0.7679818531639684,0.02758877235459058,0.7918116070941857
Precision,0.8158664615866138,0.8405717533917096,0.8389875523232941,0.01305158672432992,0.8590718393145599
ROC AUC,0.7579681722876854,0.8063255035262874,0.7957718937874231,0.02064219228423878,0.8139485278298387
Recall,0.5160912190963342,0.6128623188405797,0.5917540494458653,0.041313440965252614,0.6281543052003411
Specificity,0.9997348754101175,0.9997913131250433,0.9997897381289806,3.3808336232106406e-05,0.9998451254790366
