metrics,min,median,mean,std,max
F-Score,0.06463164109703586,0.14121838436993925,0.17239817722727435,0.09668820599853799,0.5129026661719756
G-Mean,0.8516552037581306,0.9259687017350189,0.9210882731065283,0.014761920569582419,0.9360738576022338
Precision,0.033530847243419544,0.07724547268010545,0.10245831319330559,0.07240427751399689,0.4246832182581037
ROC AUC,0.8625932774078997,0.9269447743821442,0.9232269563805455,0.013059250575495118,0.9368749420590115
Recall,0.7275149190110828,0.8746803069053708,0.8677382779198639,0.03497980297386764,0.9111679454390453
Specificity,0.9511410116560761,0.9797639466261733,0.9787156348412274,0.01208385456058923,0.9976716358047166
