metrics,min,median,mean,std,max
F-Score,0.36761732434841177,0.7242886489470598,0.6785223869898185,0.12673989978796418,0.827911755237217
G-Mean,0.8828895380984649,0.9077866354170206,0.9079835461084004,0.008818721556455175,0.9224124346606206
Precision,0.2355902882895625,0.6508895884026296,0.6039690721307273,0.17746996886456715,0.8555287854818033
ROC AUC,0.8897828247283733,0.9121266738737562,0.9123117382821562,0.007957750064513103,0.9252132535912423
Recall,0.7798806479113384,0.8250426257459507,0.8259494884910484,0.016808957093364198,0.8556265984654733
Specificity,0.9947999087170114,0.9991875661732075,0.9986739880732636,0.001176922880143725,0.9997532512140148
