metrics,min,median,mean,std,max
F-Score,0.12831109379064173,0.19747127093184463,0.22995989332013247,0.09242668005247187,0.46545021664483543
G-Mean,0.9052117186008992,0.925553715005331,0.9239157236989238,0.006245462972560642,0.9340038569298305
Precision,0.0694645210307185,0.1127115969388581,0.13891694690988257,0.06981236386585526,0.32999966822559246
ROC AUC,0.9094617663676644,0.9274920454335625,0.926120213658172,0.005532995340161401,0.9353066740028453
Recall,0.8221653878942881,0.8687979539641943,0.8653164961636829,0.015768552908800398,0.8892796248934356
Specificity,0.976435518293834,0.9861741765706096,0.9869239311526607,0.0055691230879874225,0.9967581448410409
