metrics,min,median,mean,std,max
F-Score,0.6690993433191044,0.7698277757019352,0.7607500826736948,0.07871309124738045,0.8342454359718048
G-Mean,0.7389036803635516,0.8231181066543658,0.8132604649853953,0.0605230999835894,0.8679019662692976
Precision,0.8583341255161219,0.8944583797459745,0.8957502996610985,0.03982341661704891,0.9357503136363233
ROC AUC,0.7732921280258149,0.839583772398773,0.8323086684124426,0.04865835448087929,0.8767750008264089
Recall,0.5467391304347826,0.6793158567774935,0.6647538363171356,0.09728321102933654,0.7536445012787725
Specificity,0.9998136256266867,0.9998674380151326,0.9998635005077494,4.194514947399746e-05,0.9999055003740456
